2023-03-06 18:01:25,696 | INFO | ulauncher: main() | Ulauncher version 5.15.1
2023-03-06 18:01:25,696 | INFO | ulauncher: main() | Extension API version 2.0.0
2023-03-06 18:01:25,696 | INFO | ulauncher: main() | GTK+ 3.24.33
2023-03-06 18:01:25,696 | INFO | ulauncher: main() | Is Wayland: False
2023-03-06 18:01:25,697 | INFO | ulauncher: main() | Wayland compatibility: off
2023-03-06 18:01:25,757 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2023-03-06 18:01:25,765 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2023-03-06 18:01:25,765 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2023-03-06 18:01:25,765 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2023-03-06 18:01:25,767 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2023-03-06 18:01:25,769 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2023-03-06 18:01:25,769 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2023-03-06 18:01:25,769 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2023-03-06 18:01:25,769 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2023-03-06 18:01:25,769 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2023-03-06 18:01:25,774 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:01:25,775 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:01:25,818 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-03-06 18:01:25,823 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
